n,d2,c4,d3,c5,e1,A2,A3,B3,B4,D3,D4
2,1.128,0.797885,0.8525,0.60281,,1.88,2.659,0,3.267,0,3.267
3,1.693,0.886227,0.8884,0.463251,1.16,1.023,1.954,0,2.568,0,2.574
4,2.059,0.921318,0.8794,0.38881,1.093,0.729,1.628,0,2.266,0,2.282
5,2.326,0.939986,0.8641,0.341213,1.198,0.577,1.427,0,2.089,0,2.114
6,2.534,0.951533,0.848,0.307547,1.134,0.483,1.287,0.03,1.97,0,2.004
7,2.704,0.959369,0.8332,0.282154,1.214,0.419,1.182,0.118,1.882,0.076,1.924
8,2.847,0.96503,0.8198,0.262139,1.162,0.373,1.099,0.185,1.815,0.136,1.864
9,2.97,0.969311,0.8078,0.245838,1.223,0.337,1.032,0.239,1.761,0.184,1.816
10,3.078,0.972659,0.7971,0.232238,1.174,0.308,0.975,0.284,1.716,0.223,1.777
11,3.173,0.97535,0.7873,0.220663,1.228,0.285,0.927,0.321,1.679,0.256,1.744
12,3.258,0.977559,0.7785,0.210662,1.188,0.266,0.886,0.354,1.646,0.283,1.717
13,3.336,0.979406,0.7704,0.201901,1.233,0.249,0.85,0.382,1.618,0.307,1.693
14,3.407,0.980971,0.763,0.194154,1.2,0.235,0.817,0.406,1.594,0.328,1.672
15,3.472,0.982316,0.7562,0.187231,1.237,0.223,0.789,0.428,1.572,0.347,1.653
16,3.532,0.983484,0.7499,0.180995,,0.212,0.763,0.448,1.552,0.363,1.637
17,3.588,0.984506,0.7441,0.175351,,0.203,0.739,0.466,1.534,0.378,1.622
18,3.64,0.98541,0.7386,0.170197,,0.194,0.718,0.482,1.518,0.391,1.608
19,3.689,0.986214,0.7335,0.165475,,0.187,0.698,0.497,1.503,0.403,1.597
20,3.735,0.986934,0.7287,0.161125,,0.18,0.68,0.51,1.49,0.415,1.585
21,3.778,0.987583,0.7242,0.157098,,0.173,0.663,0.523,1.477,0.425,1.575
22,3.819,0.98817,0.7199,0.153362,,0.167,0.647,0.534,1.466,0.434,1.566
23,3.858,0.988705,0.7159,0.149875,,0.162,0.633,0.545,1.455,0.443,1.557
24,3.895,0.989193,0.7121,0.146619,,0.157,0.619,0.555,1.445,0.451,1.548
25,3.931,0.98964,0.7084,0.143571,,0.153,0.606,0.565,1.435,0.459,1.541
